DATE,GEO,CATEGORY,VALUE
2020-11-01,"Halifax, Nova Scotia",house,110.1
2020-11-01,"Hamilton, Ontario",house,110.7
2020-11-01,"Kelowna, British Columbia",house,106.8
2020-11-01,"Kitchener-Cambridge-Waterloo, Ontario",house,117.3
2020-11-01,"London, Ontario",house,118.1
2020-11-01,Manitoba,house,109.1
2020-11-01,"Montréal, Quebec",house,121.3
2020-11-01,New Brunswick,house,104.2
2020-11-01,Newfoundland and Labrador,house,100.5
2020-11-01,Nova Scotia,house,110.1
2020-11-01,Ontario,house,110.2
2020-11-01,"Oshawa, Ontario",house,107.4
2020-11-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",house,134.1
2020-11-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",house,112
2020-11-01,Prairie Region,house,98.8
2020-11-01,Prince Edward Island,house,106.5
2020-11-01,Quebec,house,116.7
2020-11-01,"Québec, Quebec",house,104.8
2020-11-01,"Regina, Saskatchewan",house,92.4
2020-11-01,"Saint John, Fredericton, and Moncton, New Brunswick",house,104.2
2020-11-01,Saskatchewan,house,95.2
2020-11-01,"Saskatoon, Saskatchewan",house,96.9
2020-11-01,"Sherbrooke, Quebec",house,104
2020-11-01,"St. Catharines-Niagara, Ontario",house,114.7
2020-11-01,"St. John's, Newfoundland and Labrador",house,100.5
2020-11-01,"Toronto, Ontario",house,105.1
2020-11-01,"Trois-Rivières, Quebec",house,107.6
2020-11-01,"Vancouver, British Columbia",house,112.8
2020-11-01,"Victoria, British Columbia",house,106.5
2020-11-01,"Windsor, Ontario",house,113.1
2020-11-01,"Winnipeg, Manitoba",house,109.1
2020-12-01,Alberta,house,97.7
2020-12-01,Atlantic Region,house,105.6
2020-12-01,British Columbia,house,111.9
2020-12-01,"Calgary, Alberta",house,97.3
2020-12-01,Canada,house,108.2
2020-12-01,"Charlottetown, Prince Edward Island",house,106.5
2020-12-01,"Edmonton, Alberta",house,98.2
2020-12-01,"Greater Sudbury, Ontario",house,104.7
2020-12-01,"Guelph, Ontario",house,114.5
2020-12-01,"Halifax, Nova Scotia",house,110.1
2020-12-01,"Hamilton, Ontario",house,111.7
2020-12-01,"Kelowna, British Columbia",house,106.8
2020-12-01,"Kitchener-Cambridge-Waterloo, Ontario",house,118.4
2020-12-01,"London, Ontario",house,119
2020-12-01,Manitoba,house,109.1
2020-12-01,"Montréal, Quebec",house,122
